element,expect_bn,result_bn
QTBOTE.1,Q826,Q826new
QTBOTE.1,Q817,Q817new
QTBOTE.2,Q826,Q826new
QTBOTE.2,Q817,Q817new
QTBFOE.1,Q826,Q826new
QTBFOE.1,Q817,Q817new
QTBFOE.2,Q826,Q826new
QTBFOE.2,Q817,Q817new
QTBTNE.1,Q826,Q826new
QTBTNE.1,Q817,Q817new
QTBTNE.2,Q826,Q826new
QTBTNE.2,Q817,Q817new
QTBNFE.1,Q826,Q826new
QTBNFE.1,Q817,Q817new
QTBNFE.2,Q826,Q826new
QTBNFE.2,Q817,Q817new
BS2ORE.1,B3600,BLC1LE3600
BS2ORE.1,B3602,BLC1LE3602
BLC2RE,B2230,BLC2RE2230
BLC2RE,B2236,BLC2RE2236
KICKER1,S334,SXAB334
SXABE.2,S334,SXAB334
BC1LE,Q344,QKnew
QLB3LE,Q1120,Q1120new
QLB3LE,Q1123,Q1123new
QLB7RE,Q1120,Q1120new
QLB7RE,Q1123,Q1123new
QLC3LE,Q560,Q560new
QLC3LE,Q570,Q570new
QLC4LE,Q560,Q560new
QLC4LE,Q570,Q570new
QLC5LE,Q560,Q560new
QLC5LE,Q570,Q570new
QLC7LE,Q560,Q560new
QLC7LE,Q570,Q570new
QLY2LE.1,Q560,Q560new
QLY2LE.1,Q570,Q570new
QLY3LE,Q560,Q560new
QLY3LE,Q570,Q570new
QLY2LE.2,Q560,Q560new
QLY2LE.2,Q570,Q570new
QLB1LE,Q560,Q560new
QLB1LE,Q570,Q570new
QLB2LE,Q560,Q560new
QLB2LE,Q570,Q570new
QLB4LE,Q560,Q560new
QLB4LE,Q570,Q570new
QLX1LE.1,Q560,Q560new
QLX1LE.1,Q570,Q570new
QLX2LE,Q560,Q560new
QLX2LE,Q570,Q570new
QLX1LE.2,Q560,Q560new
QLX1LE.2,Q570,Q570new
QLA2LE,Q560,Q560new
QLA2LE,Q570,Q570new
QLA3LE,Q560,Q560new
QLA3LE,Q570,Q570new
QLA3RE,Q560,Q560new
QLA3RE,Q570,Q570new
QLA2RE,Q560,Q560new
QLA2RE,Q570,Q570new
QLX2RE.1,Q560,Q560new
QLX2RE.1,Q570,Q570new
QLX3RE.1,Q560,Q560new
QLX3RE.1,Q570,Q570new
QLX4RE,Q560,Q560new
QLX4RE,Q570,Q570new
QLX3RE.2,Q560,Q560new
QLX3RE.2,Q570,Q570new
QLX2RE.2,Q560,Q560new
QLX2RE.2,Q570,Q570new
QLA8LE,Q560,Q560new
QLA8LE,Q570,Q570new
QLB8RE,Q560,Q560new
QLB8RE,Q570,Q570new
QLB4RE,Q560,Q560new
QLB4RE,Q570,Q570new
QLB1RE,Q560,Q560new
QLB1RE,Q570,Q570new
QLY4RE.1,Q560,Q560new
QLY4RE.1,Q570,Q570new
QLY5RE,Q560,Q560new
QLY5RE,Q570,Q570new
QLY4RE.2,Q560,Q560new
QLY4RE.2,Q570,Q570new
QLC7RE,Q560,Q560new
QLC7RE,Q570,Q570new
QLC6RE,Q560,Q560new
QLC6RE,Q570,Q570new
QLC5RE,Q560,Q560new
QLC5RE,Q570,Q570new
QLC3RE,Q560,Q560new
QLC3RE,Q570,Q570new
QLC2LE,Q560,Q560newi
QLC2LE,Q538,Q538newi
QLC2RE,Q560,Q560newi
QLC2RE,Q538,Q538newi
BSWOLE,B2900,B2900R
BLY1LE.1,B4000,B4000R
BLY1LE.1,B3961,B3961R
BLY1LE.2,B4000,B4000R
BLY1LE.2,B3961,B3961R
BLB1LE,B4000,B4000R
BLB1LE,B3961,B3961R
BLX1RE.1,B4000,B4000R
BLX1RE.1,B3961,B3961R
BLX1RE.2,B4000,B4000R
BLX1RE.2,B3961,B3961R
BLA4LE.1,B5907,B5907R
BLA4LE.1,B5902,B5902R
BLA4LE.2,B5907,B5907R
BLA4LE.2,B5902,B5902R
